ts,ps_1_voltage,ps_2_voltage,ps_1_current,ps_2_current,ps_1_output_state,ps_2_output_state,V,I
1775248283.987161,0.0,24.49,0.01018,1.3124,OFF,ON,1.26979029,1.31241107
1775248284.9187448,0.0,24.53,0.01016,1.3124,OFF,ON,1.27297044,1.31205893
1775248285.5412934,0.0,24.54,0.01016,1.3124,OFF,ON,1.27286983,1.31203735
1775248286.4684358,0.0,24.54,0.01016,1.3124,OFF,ON,1.27454078,1.31234646
1775248287.089707,0.0,24.54,0.01014,1.3124,OFF,ON,1.27474809,1.31231999
1775248288.0143068,0.0,24.54,0.01014,1.3124,OFF,ON,1.27496004,1.31203377
1775248288.6345878,0.0,24.49,0.01012,1.3124,OFF,ON,1.27411675,1.31237519
1775248289.5620642,0.0,24.48,0.01012,1.3124,OFF,ON,1.28516912,1.31273091
1775248290.1879756,0.0,24.44,0.0101,1.3124,OFF,ON,1.27366757,1.31250334
1775248291.111372,0.0,24.43,0.0101,1.3124,OFF,ON,1.27054965,1.3122865
1775248291.733287,0.0,24.41,0.0101,1.3124,OFF,ON,1.26847982,1.31272614
1775248292.6599815,0.0,24.4,0.01007,1.3124,OFF,ON,1.26740897,1.31200624
1775248293.279659,0.0,24.39,0.01007,1.3124,OFF,ON,1.26702452,1.31204569
1775248294.214199,0.0,24.38,0.01005,1.3124,OFF,ON,1.266186,1.31240392
1775248294.8373454,0.0,24.38,0.01005,1.3124,OFF,ON,1.26548648,1.31202424
1775248295.7661653,0.0,24.38,0.01005,1.3124,OFF,ON,1.26441443,1.31213796
