ts,ps_1_voltage,ps_2_voltage,ps_1_current,ps_2_current,ps_1_output_state,ps_2_output_state,ts,V,I
1775248192.311125,0.0,168.99,0.01101,1.3125,OFF,ON,1775248167.0566964,1.78176093,1.31171513
1775248193.2404058,0.0,168.93,0.01097,1.3125,OFF,ON,1775248167.6072075,1.79127514,1.31232131
1775248193.862785,0.0,168.92,0.01095,1.3125,OFF,ON,1775248168.0722194,1.79158187,1.31170917
1775248194.7930186,0.0,168.84,0.01091,1.3125,OFF,ON,1775248168.624353,1.76873946,1.31160021
1775248195.413882,0.0,168.78,0.01089,1.3125,OFF,ON,1775248169.0900855,1.76159561,1.31176782
1775248196.3371096,0.0,38.29,0.01087,1.3124,OFF,ON,1775248169.5709646,1.47328651,1.35021067
1775248196.9588344,0.0,38.25,0.01087,1.3124,OFF,ON,1775248170.0364134,1.7862947,1.31946862
1775248197.887786,0.0,38.25,0.01083,1.3124,OFF,ON,1775248170.5897682,3.71758032,1.31151628
1775248198.5108883,0.0,38.23,0.0108,1.3124,OFF,ON,1775248171.0535033,1.97042096,1.31105518
1775248199.4417634,0.0,32.4,0.01078,1.3124,OFF,ON,1775248171.6061032,1.80209148,1.31241703
1775248200.0641122,0.0,32.4,0.0108,1.3124,OFF,ON,1775248172.0711076,1.80848181,1.31224942
1775248200.9899638,0.0,32.39,0.01076,1.3124,OFF,ON,1775248172.6239667,1.78899455,1.31240511
1775248201.6158266,0.0,32.4,0.01072,1.3124,OFF,ON,1775248173.088575,1.77612758,1.31215835
1775248202.545193,0.0,32.41,0.0107,1.3124,OFF,ON,1775248173.6435883,1.62749255,1.31374431
1775248203.1662292,0.0,32.43,0.01066,1.3124,OFF,ON,1775248174.1075346,1.68177772,1.31236553
1775248204.093159,0.0,32.45,0.01064,1.3124,OFF,ON,1775248174.661661,1.41966498,1.30996037
1775248204.7163067,0.0,32.47,0.01062,1.3124,OFF,ON,1775248175.1149137,1.2656554,1.29967833
1775248205.6451583,0.0,32.51,0.0106,1.3124,OFF,ON,1775248175.6668024,2.17876363,1.31319571
1775248206.2635822,0.0,32.58,0.01058,1.3124,OFF,ON,1775248176.1303957,2.27511382,1.3116864
1775248207.1935124,0.0,32.65,0.01055,1.3124,OFF,ON,1775248176.684572,1.86701334,1.31167805
1775248207.8148258,0.0,32.71,0.01053,1.3124,OFF,ON,1775248177.1494622,1.85602689,1.31167924
